Univ,College,Major,Continent,Country,Foreign Univ,Semester,Url
KHU,호텔관광대학,관광학부,Asia,일본,메이지 대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7082&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3065&perpage=15
KHU,정경대학,정치외교학과,Europe,스페인,Universidad de Navarra,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7075&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3064&perpage=15
KHU,정경대학,정치외교학과,Europe,체코,Charles University,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7073&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3063&perpage=15
KHU,의과대학,의예과,Europe,네덜란드,UMCG,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7072&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3062&perpage=15
KHU,예술·디자인대학,환경조경디자인학과,Asia,일본,chiba university,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7071&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3061&perpage=15
KHU,외국어대학,프랑스어학과,Europe,프랑스,Université de La Rochelle,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7070&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3060&perpage=15
KHU,외국어대학,스페인어학과,Europe,스페인,Universidad de Las Palmas ..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7069&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3059&perpage=15
KHU,외국어대학,프랑스어학과,Europe,프랑스,AixMarseille Univercité,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7066&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3058&perpage=15
KHU,자율전공학과,자율전공학과,Asia,"일본, 대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7064&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3057&perpage=15
KHU,경영대학,경영학과,Asia,"일본, 대만","리츠메이칸대학, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7056&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3056&perpage=15
KHU,생활과학대학,의상학과,Europe,프랑스,IDRAC Business School,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7055&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3055&perpage=15
KHU,정경대학,정치외교학과,Asia,"일본, 대만","리츠메이칸 대학, 담강 ..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7054&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3054&perpage=15
KHU,생명과학대학,식품생명공학과,Asia,"일본,대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7053&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3053&perpage=15
KHU,정경대학,정치외교학과,Asia,"일본, 대만","리츠메이칸 대학, 담강 ..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7052&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3052&perpage=15
KHU,호텔관광대학,관광학부,Asia,"일본,대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7051&b_code=12&page=1&s1=&s2=&b_ex1=&idx_no=3051&perpage=15
KHU,경영대학,경영학과,Europe,벨기에,Solvay Brussels School Eco..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7049&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3050&perpage=15
KHU,예술·디자인대학,연극영화학과,Europe,핀란드,Arcada University of Applie..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7048&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3049&perpage=15
KHU,경영대학,경영학과,Asia,중국,동제대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7047&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3048&perpage=15
KHU,외국어대학,중국어학과,Asia,대만,대만국립사범대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7045&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3047&perpage=15
KHU,이과대학,지리학과,Asia,"일본, 대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7044&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3046&perpage=15
KHU,호텔관광대학,관광학부,Asia,"일본,대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7040&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3045&perpage=15
KHU,경영대학,경영학과,Europe,독일,Hochschule Osnabrueck Univers..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7036&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3044&perpage=15
KHU,국제대학,국제학과,Asia,"일본,대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7035&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3043&perpage=15
KHU,응용과학대학,우주과학과,Asia,"일본,대만","리츠메이칸대학교, 담강대..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7034&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3042&perpage=15
KHU,외국어대학,러시아어학과,Asia,카자흐스탄,카자흐스탄 외국어대학 Каз..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7026&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3041&perpage=15
KHU,정경대학,무역학과,Southern America,콜롬비아,Universidad EAFIT,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7025&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3040&perpage=15
KHU,문과대학,영어학부,Northern America,미국,Northeastern Illinois Univer..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7023&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3039&perpage=15
KHU,외국어대학,일본어학과,Asia,일본,와세다대학,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7021&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3038&perpage=15
KHU,생명과학대학,식품생명공학과,Asia,중국,북경제2외국어대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7020&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3037&perpage=15
KHU,정경대학,경제학과,Asia,일본,나고야대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7019&b_code=12&page=2&s1=&s2=&b_ex1=&idx_no=3036&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Oceania,호주,Victoria University,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7018&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3035&perpage=15
KHU,예술·디자인대학,의류디자인학과,etc,"California State University, Sacaram.","California State University, Sacaram..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7015&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3034&perpage=15
KHU,소프트웨어융합대학,컴퓨터공학과,Asia,일본,나고야대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7014&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3033&perpage=15
KHU,외국어대학,프랑스어학과,Europe,프랑스,Université de La Rochelle,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7013&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3032&perpage=15
KHU,경영대학,경영학과,Europe,핀란드,Oulu university of applied..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7010&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3031&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Asia,일본,관서학원대학,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7005&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3030&perpage=15
KHU,국제대학,국제학과,Europe,스위스,Bern University of Applied..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7003&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3029&perpage=15
KHU,국제대학,국제학과,Europe,네덜란드,Hogeschool Utrecht,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7002&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3028&perpage=15
KHU,문과대학,영어학부,Northern America,미국,"퀸스 칼리지, CUNY",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=7000&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3027&perpage=15
KHU,문과대학,영어학부,Europe,영국,University of Central Lancas..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6999&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3026&perpage=15
KHU,정경대학,경제학과,Europe,네덜란드,University of Groningen,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6997&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3025&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,리투아니아,"KTU, Kaunas University..",2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6996&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3024&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,스페인,Vigo university,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6995&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3023&perpage=15
KHU,예술·디자인대학,연극영화학과,Europe,영국,University Of Central Lancas..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6994&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3022&perpage=15
KHU,정경대학,정치외교학과,Southern America,멕시코,TEC DE MONTERREY,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6992&b_code=12&page=3&s1=&s2=&b_ex1=&idx_no=3021&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,리투아니아,KTU(Kaunas University ..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6991&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3020&perpage=15
KHU,정경대학,정치외교학과,Southern America,멕시코,Tec de monterrey,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6988&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3019&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,리투아니아,KTU(Kaunas University ..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6987&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3018&perpage=15
KHU,공과대학,환경학및환경공학과,Asia,일본,간사이대학 (Kansai University ..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6986&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3017&perpage=15
KHU,호텔관광대학,관광학부,Europe,이탈리아,Universita Ca Foscari Ve..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6985&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3016&perpage=15
KHU,정경대학,언론정보학과,Europe,핀란드,TAMK (Tampere University o..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6984&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3015&perpage=15
KHU,경영대학,경영학과,Europe,프랑스,University Paris Est Créte..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6983&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3014&perpage=15
KHU,정경대학,경제학과,Northern America,미국,University of Massachusetts ..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6981&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3013&perpage=15
KHU,생활과학대학,식품영양학과,Europe,네덜란드,University of Groningen,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6980&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3012&perpage=15
KHU,외국어대학,러시아어학과,Europe,러시아,극동연방대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6979&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3011&perpage=15
KHU,정경대학,경제학과,Europe,스페인,University of Navarra,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6978&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3010&perpage=15
KHU,외국어대학,중국어학과,Asia,대만,국립정치대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6977&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3009&perpage=15
KHU,경영대학,경영학과,Europe,프랑스,IESEG School of Management,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6976&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3008&perpage=15
KHU,전자정보대학,생체의공학과,Europe,오스트리아,Management Center of I..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6975&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3007&perpage=15
KHU,외국어대학,글로벌커뮤니케이션학부,Europe,체코,Charles University in Prague,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6974&b_code=12&page=4&s1=&s2=&b_ex1=&idx_no=3006&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,영국,University of Manchester,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6973&b_code=12&page=5&s1=&s2=&b_ex1=&idx_no=3005&perpage=15
KHU,외국어대학,러시아어학과,Europe,러시아,모스크바 국제 관계 대학교 (..,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6972&b_code=12&page=5&s1=&s2=&b_ex1=&idx_no=3004&perpage=15
KHU,문과대학,영어학부,etc,university of vaas,university of vaasa,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6971&b_code=12&page=5&s1=&s2=&b_ex1=&idx_no=3003&perpage=15
KHU,호텔관광대학,Hospitality경영학부,Europe,프랑스,IESEG School of Management,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6970&b_code=12&page=5&s1=&s2=&b_ex1=&idx_no=3002&perpage=15
KHU,외국어대학,러시아어학과,Europe,러시아,모스크바 국립 언어 대학교,2019-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=6969&b_code=12&page=5&s1=&s2=&b_ex1=&idx_no=3001&perpage=15
